snippet,Nummer,Rechtswert,Hochwert,Tiefe [m],layer
"Depth: 1,50 m
Magnetic Moment: 321,096 Am²",1,443466.619,5935900.099,1.5,Stoerkoerper Magnetik Nord
"Depth: 1,55 m
Magnetic Moment: 173,202 Am²",2,443414.242,5935984.45,1.6,Stoerkoerper Magnetik Nord
"Depth: 1,60 m
Magnetic Moment: 214,405 Am²",3,443071.611,5936809.951,1.6,Stoerkoerper Magnetik Nord
"Depth: 0,70 m
Magnetic Moment: 31,294 Am²",4,443091.326,5936719.642,0.7,Stoerkoerper Magnetik Nord
"Depth: 1,70 m
Magnetic Moment: 194,792 Am²",5,443057.29,5936858.058,1.7,Stoerkoerper Magnetik Nord
"Depth: 1,20 m
Magnetic Moment: 47,721 Am²",6,443445.782,5935950.883,1.2,Stoerkoerper Magnetik Nord
"Depth: 1,65 m
Magnetic Moment: 210,139 Am²",7,443023.592,5936974.476,1.7,Stoerkoerper Magnetik Nord
"Depth: 1,90 m
Magnetic Moment: 160,703 Am²",8,443027.249,5936954.238,1.9,Stoerkoerper Magnetik Nord
"Depth: 1,90 m
Magnetic Moment: 259,471 Am²",9,443204.142,5936364.049,1.9,Stoerkoerper Magnetik Nord
"Depth: 1,20 m
Magnetic Moment: 35,839 Am²",10,443455.623,5935912.727,1.2,Stoerkoerper Magnetik Nord
"Depth: 1,10 m
Magnetic Moment: 21,496 Am²",11,443738.753,5935453.779,1.1,Stoerkoerper Magnetik Nord
"Depth: 1,30 m
Magnetic Moment: 39,727 Am²",12,443454.285,5935913.743,1.3,Stoerkoerper Magnetik Nord
"Depth: 1,70 m
Magnetic Moment: 85,051 Am²",13,443052.446,5936879.359,1.7,Stoerkoerper Magnetik Nord
"Depth: 2,40 m
Magnetic Moment: 167,391 Am²",14,443824.312,5935264.163,2.4,Stoerkoerper Magnetik Nord
"Depth: 1,65 m
Magnetic Moment: 57,795 Am²",15,443174.185,5936400.396,1.7,Stoerkoerper Magnetik Nord
"Depth: 2,40 m
Magnetic Moment: 253,547 Am²",16,443302.74,5936165.529,2.4,Stoerkoerper Magnetik Nord
"Depth: 1,25 m
Magnetic Moment: 23,087 Am²",17,443623.328,5935641.253,1.3,Stoerkoerper Magnetik Nord
"Depth: 1,90 m
Magnetic Moment: 84,476 Am²",18,443646.636,5935600.637,1.9,Stoerkoerper Magnetik Nord
"Depth: 1,95 m
Magnetic Moment: 136,527 Am²",19,443463.939,5935901.731,2,Stoerkoerper Magnetik Nord
"Depth: 1,20 m
Magnetic Moment: 24,964 Am²",20,443833.256,5935297.397,1.2,Stoerkoerper Magnetik Nord
"Depth: 1,10 m
Magnetic Moment: 17,806 Am²",21,443256.491,5936252.306,1.1,Stoerkoerper Magnetik Nord
"Depth: 0,60 m
Magnetic Moment: 3,628 Am²",22,443148.773,5936486.574,0.6,Stoerkoerper Magnetik Nord
"Depth: 1,85 m
Magnetic Moment: 54,513 Am²",23,443106.45,5936696.968,1.9,Stoerkoerper Magnetik Nord
"Depth: 0,90 m
Magnetic Moment: 8,050 Am²",24,443105.848,5936734.414,0.9,Stoerkoerper Magnetik Nord
"Depth: 1,20 m
Magnetic Moment: 17,619 Am²",25,443093.077,5936732.367,1.2,Stoerkoerper Magnetik Nord
"Depth: 0,50 m
Magnetic Moment: 1,439 Am²",26,443708.041,5935510.58,0.5,Stoerkoerper Magnetik Nord
"Depth: 1,80 m
Magnetic Moment: 54,811 Am²",27,443643.785,5935608.818,1.8,Stoerkoerper Magnetik Nord
"Depth: 1,15 m
Magnetic Moment: 19,903 Am²",28,443470.763,5935866.26,1.2,Stoerkoerper Magnetik Nord
"Depth: 1,45 m
Magnetic Moment: 15,227 Am²",29,443009.581,5937015.032,1.5,Stoerkoerper Magnetik Nord
"Depth: 0,75 m
Magnetic Moment: 3,510 Am²",30,443134.317,5936628.005,0.8,Stoerkoerper Magnetik Nord
"Depth: 1,05 m
Magnetic Moment: 4,993 Am²",31,443095.132,5936732.793,1.1,Stoerkoerper Magnetik Nord
"Depth: 1,65 m
Magnetic Moment: 22,570 Am²",32,443281.375,5936222.318,1.7,Stoerkoerper Magnetik Nord
"Depth: 2,75 m
Magnetic Moment: 89,529 Am²",33,443054.559,5936821.901,2.8,Stoerkoerper Magnetik Nord
"Depth: 1,70 m
Magnetic Moment: 30,816 Am²",34,443052.16,5936863.767,1.7,Stoerkoerper Magnetik Nord
"Depth: 1,70 m
Magnetic Moment: 16,325 Am²",35,443674.665,5935557.764,1.7,Stoerkoerper Magnetik Nord
"Depth: 1,75 m
Magnetic Moment: 26,123 Am²",36,443799.235,5935357.535,1.8,Stoerkoerper Magnetik Nord
"Depth: 0,85 m
Magnetic Moment: 6,256 Am²",37,443071.713,5936772.511,0.9,Stoerkoerper Magnetik Nord
"Depth: 1,15 m
Magnetic Moment: 7,116 Am²",38,443190.139,5936371.864,1.2,Stoerkoerper Magnetik Nord
"Depth: 1,10 m
Magnetic Moment: 7,675 Am²",39,443750.374,5935439.045,1.1,Stoerkoerper Magnetik Nord
"Depth: 1,50 m
Magnetic Moment: 15,380 Am²",40,443599.769,5935677.524,1.5,Stoerkoerper Magnetik Nord
"Depth: 0,80 m
Magnetic Moment: 2,914 Am²",41,443760.357,5935249.582,0.8,Stoerkoerper Magnetik Nord
"Depth: 1,00 m
Magnetic Moment: 5,200 Am²",42,443054.684,5936865.837,1,Stoerkoerper Magnetik Nord
"Depth: 2,90 m
Magnetic Moment: 129,233 Am²",43,443248.486,5936264.248,2.9,Stoerkoerper Magnetik Nord
"Depth: 0,35 m
Magnetic Moment: 0,304 Am²",44,443471.125,5935917.44,0.4,Stoerkoerper Magnetik Nord
"Depth: 0,90 m
Magnetic Moment: 4,697 Am²",45,443132.876,5936603.63,0.9,Stoerkoerper Magnetik Nord
"Depth: 0,95 m
Magnetic Moment: 5,474 Am²",46,443649.678,5935604.199,1,Stoerkoerper Magnetik Nord
"Depth: 0,80 m
Magnetic Moment: 2,154 Am²",47,443646.882,5935558.446,0.8,Stoerkoerper Magnetik Nord
"Depth: 1,15 m
Magnetic Moment: 7,050 Am²",48,443647.016,5935603.181,1.2,Stoerkoerper Magnetik Nord
"Depth: 0,50 m
Magnetic Moment: 0,763 Am²",49,443691.38,5935559.414,0.5,Stoerkoerper Magnetik Nord
"Depth: 0,65 m
Magnetic Moment: 0,636 Am²",50,443607.383,5935687.28,0.7,Stoerkoerper Magnetik Nord
"Depth: 1,55 m
Magnetic Moment: 8,667 Am²",51,443712.443,5935502.429,1.6,Stoerkoerper Magnetik Nord
"Depth: 0,95 m
Magnetic Moment: 3,058 Am²",52,443025.555,5936896.126,1,Stoerkoerper Magnetik Nord
"Depth: 0,90 m
Magnetic Moment: 3,597 Am²",53,443031.369,5936972.784,0.9,Stoerkoerper Magnetik Nord
"Depth: 1,40 m
Magnetic Moment: 4,451 Am²",54,443635.778,5935637.356,1.4,Stoerkoerper Magnetik Nord
"Depth: 1,00 m
Magnetic Moment: 3,683 Am²",55,443097.833,5936691.173,1,Stoerkoerper Magnetik Nord
"Depth: 2,10 m
Magnetic Moment: 41,182 Am²",56,443228.264,5936303.778,2.1,Stoerkoerper Magnetik Nord
"Depth: 0,95 m
Magnetic Moment: 2,496 Am²",57,443644.09,5935550.732,1,Stoerkoerper Magnetik Nord
"Depth: 1,20 m
Magnetic Moment: 4,973 Am²",58,443124.269,5936648.819,1.2,Stoerkoerper Magnetik Nord
"Depth: 0,85 m
Magnetic Moment: 2,722 Am²",59,443270.955,5936191.152,0.9,Stoerkoerper Magnetik Nord
"Depth: 0,90 m
Magnetic Moment: 3,432 Am²",60,443196.199,5936393.785,0.9,Stoerkoerper Magnetik Nord
"Depth: 1,80 m
Magnetic Moment: 11,340 Am²",61,443016.322,5936947.571,1.8,Stoerkoerper Magnetik Nord
"Depth: 1,20 m
Magnetic Moment: 4,778 Am²",62,443067.908,5936780.354,1.2,Stoerkoerper Magnetik Nord
"Depth: 1,10 m
Magnetic Moment: 5,751 Am²",63,443558.483,5935706.959,1.1,Stoerkoerper Magnetik Nord
"Depth: 1,20 m
Magnetic Moment: 5,009 Am²",64,442991.511,5937079.878,1.2,Stoerkoerper Magnetik Nord
"Depth: 1,65 m
Magnetic Moment: 10,260 Am²",65,443012.236,5936965.315,1.7,Stoerkoerper Magnetik Nord
