Filename,Dist.(m),East(�),North(�),Target Pic,Target P_1,Name,Target P_2,layer,path,Nummer,Rechtswert,Hochwert,Tiefe [m]
RUESTERSIEL 2024_104 P_3.DZT,32.020000000000003,443860.056540399964433,5935267.570306600071490,Rebar_001,"24.87",,,Stoerkoerper Georadar Array 1,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar Array 1.shp|layername=Stoerkoerper Georadar Array 1,"1.032",443860.057,5935267.570,0.2
RUESTERSIEL 2024_104 P_3.DZT,11.840000000000000,443853.399857099982910,5935254.058133299462497,Rebar_001,"25.28",,,Stoerkoerper Georadar Array 1,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar Array 1.shp|layername=Stoerkoerper Georadar Array 1,"1.033",443853.400,5935254.058,0.3
RUESTERSIEL 2024_026 P_2.DZT,321.220000000000027,443669.906392199976835,5935222.549334599636495,Rebar_001,"120.12",,,Stoerkoerper Georadar Array 1,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar Array 1.shp|layername=Stoerkoerper Georadar Array 1,"1.034",443669.906,5935222.549,1.2
RUESTERSIEL 2024_029 P_2.DZT,45.780000000000001,443855.391898199974094,5935280.217310500331223,Rebar_001,"138.93",,,Stoerkoerper Georadar Array 1,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar Array 1.shp|layername=Stoerkoerper Georadar Array 1,"1.035",443855.392,5935280.217,1.4
RUESTERSIEL 2024_029 P_2.DZT,107.500000000000000,443824.409347800014075,5935248.351920199580491,Rebar_001,"152.25",,,Stoerkoerper Georadar Array 1,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar Array 1.shp|layername=Stoerkoerper Georadar Array 1,"1.036",443824.409,5935248.352,1.5
RUESTERSIEL 2024_030 P_2.DZT,115.500000000000000,443853.364192900015041,5935293.534440900199115,Rebar_001,"135.01",,,Stoerkoerper Georadar Array 1,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar Array 1.shp|layername=Stoerkoerper Georadar Array 1,"1.037",443853.364,5935293.534,1.4
RUESTERSIEL 2024_091 P_2.DZT,24.379999999999999,443868.961094399972353,5935295.330427899956703,Rebar_001,"148.72",,,Stoerkoerper Georadar Array 1,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar Array 1.shp|layername=Stoerkoerper Georadar Array 1,"1.038",443868.961,5935295.330,1.5
RUESTERSIEL 2024_091 P_2.DZT,24.260000000000002,443868.401131200080272,5935295.096314200200140,Rebar_001,"153.42",,,Stoerkoerper Georadar Array 1,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar Array 1.shp|layername=Stoerkoerper Georadar Array 1,"1.039",443868.401,5935295.096,1.5
RUESTERSIEL 2024_103 P_3.DZT,12.060000000000000,443872.194645399984438,5935259.636074899695814,Rebar_001,"14.26",,,Stoerkoerper Georadar Array 1,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar Array 1.shp|layername=Stoerkoerper Georadar Array 1,"1.040",443872.195,5935259.636,0.1
RUESTERSIEL 2024_105 P_3.DZT,36.740000000000002,443876.741748599975836,5935268.659440699964762,Rebar_001,"134.23",,,Stoerkoerper Georadar Array 1,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar Array 1.shp|layername=Stoerkoerper Georadar Array 1,"1.041",443876.742,5935268.659,1.3
RUESTERSIEL 2024_030 P_3.DZT,115.420000000000002,443853.365890700020827,5935293.477017800323665,Rebar_001,"135.4",,,Stoerkoerper Georadar Array 2,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar Array 2.shp|layername=Stoerkoerper Georadar Array 2,"1.042",443853.366,5935293.477,1.4
RUESTERSIEL 2024_036 P_1.DZT,408.720000000000027,443042.096541700011585,5936983.130281800404191,Rebar_001,"122.47",,,Stoerkoerper Georadar Array 2,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar Array 2.shp|layername=Stoerkoerper Georadar Array 2,"1.043",443042.097,5936983.130,1.2
RUESTERSIEL 2024_030 P_3.DZT,110.879999999999995,443853.918797400023323,5935290.121909200213850,Rebar_001,"158.12",,,Stoerkoerper Georadar Array 2,C:\Users\Philipp.Schwarz\OneDrive - Nolte Services GmbH\00_Laufende Aufträge\11-24-2736 WIlhelmshaven Rüstersieler Seedeich\Vermessung_Lageplan_Geo\003_SHP\Stoerkoerper Georadar Array 2.shp|layername=Stoerkoerper Georadar Array 2,"1.044",443853.919,5935290.122,1.6
